"School Name","School Code","State","City","Activation Date","Fees: Retail and Corporate Level Users","Fees: Colleague Level Members"
"ABILENE CHRISTIAN UNIVERSITY","_003537","TX","ABILENE","04/05/2004","$6.50","$5.00"
"ABRAHAM BALDWIN AGRICULTURAL COLLEGE","_001541","GA","TIFTON","08/08/2002","$6.50","$5.00"
"ADAMS STATE COLLEGE","_001345","CO","ALAMOSA","07/24/2008","$6.50","$5.00"
"ADELBERT COLLEGE","_003024","OH","CLEVELAND","09/26/2007","$11.50","$10.00"
"ADELPHI UNIVERSITY","_002666","NY","GARDEN CITY","12/20/2000","$6.50","$5.00"
"ADIRONDACK COMMUNITY COLLEGE","_002860","NY","QUEENSBURY","12/04/2008","$6.50","$5.00"
"AGNES SCOTT COLLEGE","_001542","GA","DECATUR","11/30/2004","$6.50","$5.00"
"AIMS COLLEGE","_007582","CO","GREELEY","01/29/2004","$6.50","$5.00"
"AIMS COMMUNITY COLLEGE","_007582","CO","GREELEY","01/29/2004","$6.50","$5.00"
"ALABAMA A & M UNIVERSITY","_001002","AL","NORMAL","06/27/2008","$6.50","$5.00"
"ALABAMA AGRICULTURAL & MECHANICAL COLLEGE","_001002","AL","NORMAL","06/27/2008","$6.50","$5.00"
"ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY","_001002","AL","NORMAL","06/27/2008","$6.50","$5.00"
"ALABAMA SCHOOL OF TRADES","_001017","AL","GADSDEN","07/22/2008","$6.50","$5.00"
"ALABAMA TECHNICAL COLLEGE","_001017","AL","GADSDEN","07/22/2008","$6.50","$5.00"
"ALAMANCE COMMUNITY COLLEGE","_005463","NC","GRAHAM","12/07/2005","$6.50","$5.00"
"ALBANY COLLEGE OF PHARMACY","_002885","NY","ALBANY","01/31/2007","$7.50","$6.00"
"ALBANY COLLEGE OF PHARMACY AND HEALTH SCIENCES","_002885","NY","ALBANY","01/31/2007","$7.50","$6.00"
"ALBANY COLLEGE OF PHARMACY OF UNION UNIVERSITY","_002885","NY","ALBANY","01/31/2007","$7.50","$6.00"
"ALBANY JUNIOR COLLEGE","_001543","GA","ALBANY","04/07/2010","$6.50","$5.00"
"ALBANY STATE UNIVERSITY","_001544","GA","ALBANY","07/18/2003","$6.50","$5.00"
"ALBANY TECHNICAL COLLEGE","_005601","GA","ALBANY","06/18/2007","$6.50","$5.00"
"ALBION COLLEGE","_002235","MI","ALBION","03/03/2009","$6.50","$5.00"
"ALBUQUERQUE TECHNICAL VOCATIONAL INSTITUTE","_004742","NM","ALBUQUERQUE","11/20/2006","$6.50","$5.00"
"ALCORN STATE A&M COLLEGE","_002396","MS","ALCORN STATE","04/09/2004","$6.50","$5.00"
"ALCORN STATE UNIVERSITY","_002396","MS","ALCORN STATE","04/09/2004","$6.50","$5.00"
"ALEXANDRA TECHNICAL AND COMMUNITY COLLEGE","_005544","MN","ALEXANDRIA","01/23/2003","$6.50","$5.00"
"ALEXANDRIA AREA VOCATIONAL TECHNICAL INSTITUTE","_005544","MN","ALEXANDRIA","01/23/2003","$6.50","$5.00"
"ALEXANDRIA TECHNICAL COLLEGE","_005544","MN","ALEXANDRIA","01/23/2003","$6.50","$5.00"
"ALEXANDRIA TECHNICAL INSTITUTE","_005544","MN","ALEXANDRIA","01/23/2003","$6.50","$5.00"
"ALLAN HANCOCK COLLEGE","_001111","CA","SANTA MARIA","05/07/2007","$6.50","$5.00"
"ALLAN HANCOCK JOINT COMMUNITY COLLEGE DISTRICT","_001111","CA","SANTA MARIA","05/07/2007","$6.50","$5.00"
"ALLEGHENY UNIVERSITY","_003256","PA","PHILADELPHIA","11/30/2007","$10.50","$9.00"
"ALMA COLLEGE","_002236","MI","ALMA","11/19/2008","$6.50","$5.00"
"ALTAMAHA TECHNICAL COLLEGE","_030321","GA","JESUP","06/19/2007","$6.50","$5.00"
"ALVERNO COLLEGE","_003832","WI","MILWAUKEE","11/20/2008","$6.50","$5.00"
"ALVIN COMMUNITY COLLEGE","_003539","TX","ALVIN","06/16/2011","$6.50","$5.00"
"ALVIN JR COLLEGE","_003539","TX","ALVIN","06/16/2011","$6.50","$5.00"
"ALVIN JUNIOR COLLEGE","_003539","TX","ALVIN","06/16/2011","$6.50","$5.00"
"AMARILLO COLLEGE","_003540","TX","AMARILLO","08/23/2005","$6.50","$5.00"
"AMERICAN GRADUATE SCHOOL OF INTERNATIONAL MANAGEMENT","_001070","AZ","GLENDALE","05/04/2004","$6.50","$5.00"
"AMERICAN RIVER COLLEGE LOS RIOS CC DISTRICT","_001232","CA","SACRAMENTO","03/13/2009","$6.50","$5.00"
"AMERICAN UNIVERSITY","_001434","DC","WASHINGTON","04/22/2003","$6.50","$5.00"
"AMERICAN UNIVERSITY OF PUERTO RICO","_011941","PR","BAYAMON","05/20/2004","$6.50","$5.00"
"AMERICAN UNIVERSITY WASHINGTON COLLEGE OF LAW","_001434","DC","WASHINGTON","04/22/2003","$6.50","$5.00"
"ANCILLA COLLEGE","_001784","IN","DONALDSON","10/27/2004","$6.50","$5.00"
"ANDREW COLLEGE","_001545","GA","CUTHBERT","05/16/2008","$6.50","$5.00"
"ANDREWS UNIVERSITY","_002238","MI","BERRIEN SPRINGS","10/23/2002","$6.50","$5.00"
"ANGELO COLLEGE","_003541","TX","SAN ANGELO","03/06/2008","$6.50","$5.00"
"ANGELO JUNIOR COLLEGE","_003541","TX","SAN ANGELO","03/06/2008","$6.50","$5.00"
"ANGELO STATE UNIVERSITY","_003541","TX","SAN ANGELO","03/06/2008","$6.50","$5.00"
"ANNE ARUNDEL COMMUNITY COLLEGE","_002058","MD","ARNOLD","10/30/2006","$6.50","$5.00"
"ANOKA RAMSEY COMMUNITY COLLEGE","_002332","MN","COON RAPIDS","09/09/2005","$6.50","$5.00"
"ANOKA TECHNICAL COLLEGE","_007350","MN","ANOKA","09/16/2005","$6.50","$5.00"
"ANOKA-HENNEPIN TECHNICAL COLLEGE","_007350","MN","ANOKA","09/16/2005","$6.50","$5.00"
"ANSON COMMUNITY COLLEGE","_007985","NC","POLKTON","11/21/2006","$6.50","$5.00"
"ANTIOCH UNIVERSITY","_003010","OH","YELLOW SPRINGS","05/05/2006","$9.00","$7.50"
"ANTIOCH UNIVERSITY LOS ANGELES","_003010","OH","YELLOW SPRINGS","05/05/2006","$9.00","$7.50"
"ANTIOCH UNIVERSITY SANTA BARBARA","_003010","OH","YELLOW SPRINGS","05/05/2006","$9.00","$7.50"
"ANTIOCH UNIVERSITY YELLOW SPRINGS","_003010","OH","YELLOW SPRINGS","05/05/2006","$9.00","$7.50"
"APPALACHIAN STATE UNIVERSITY","_002906","NC","BOONE","04/16/2002","$6.50","$5.00"
"APPALACHIAN TECHNICAL COLLEGE","_005620","GA","MARIETTA","06/14/2007","$6.50","$5.00"
"ARAPAHOE COMMUNITY COLLEGE","_001346","CO","LITTLETON","06/02/2003","$6.50","$5.00"
"ARGOSY UNIVERSITY","_021799","IL","CHICAGO","09/28/2011","$12.00","$10.50"
"ARGUBRIGHT COLLEGE","_002249","MI","GRAND RAPIDS","11/14/2011","$6.50","$5.00"
"ARIZONA STATE UNIVERSITY","_001081","AZ","TEMPE","04/25/2003","$8.50","$7.00"
"ARKANSAS STATE UNIVERSITY","_001090","AR","STATE UNIVERSITY","10/29/2001","$6.50","$5.00"
"ARKANSAS STATE UNIVERSITY - BEEBE","_001091","AR","BEEBE","11/22/2004","$6.50","$5.00"
"ARKANSAS STATE UNIVERSITY - JONESBORO","_001090","AR","STATE UNIVERSITY","10/29/2001","$6.50","$5.00"
"ARKANSAS TECH UNIVERSITY","_001089","AR","RUSSELLVILLE","10/09/2002","$6.50","$5.00"
"ARMSTRONG ATLANTIC STATE UNIVERSITY","_001546","GA","SAVANNAH","04/20/2006","$6.50","$5.00"
"ARMSTRONG JUNIOR COLLEGE","_001546","GA","SAVANNAH","04/20/2006","$6.50","$5.00"
"ARMSTRONG STATE COLLEGE","_001546","GA","SAVANNAH","04/20/2006","$6.50","$5.00"
"ART CENTER COLLEGE OF DESIGN","_001116","CA","PASADENA","10/06/2010","$6.50","$5.00"
"ART INSTITUTE OF BOSTON","_002160","MA","CAMBRIDGE","01/02/2003","$6.50","$5.00"
"ARTHUR A DUGONI SCH DENTISTRY","_001329","CA","STOCKTON","06/28/2002","$9.50","$8.00"
"ARTHUR ROSE JUNIOR COLLEGE","_009185","OK","MIDWEST CITY","06/20/2005","$6.50","$5.00"
"ASBURY COLLEGE","_001952","KY","WILMORE","03/08/2011","$8.50","$7.00"
"ASBURY UNIVERSITY","_001952","KY","WILMORE","03/08/2011","$8.50","$7.00"
"ASHEVILLE-BUNCOMBE TECHNICAL COMMUNITY COLLEGE","_004033","NC","ASHEVILLE","03/21/2011","$6.50","$5.00"
"ASHFORD UNIVERSITY","_001881","IA","CLINTON","01/02/2008","$6.50","$5.00"
"ASHLAND COMMUNITY AND TECHNICAL COLLEGE (KCTCS)","_001990","KY","ASHLAND","05/08/2003","$11.50","$10.00"
"ASHLAND COMMUNITY COLLEGE","_001990","KY","ASHLAND","05/08/2003","$11.50","$10.00"
"ASHLAND TECHNICAL COLLEGE","_001990","KY","ASHLAND","05/08/2003","$11.50","$10.00"
"ASHLAND UNIVERSITY","_003012","OH","ASHLAND","03/30/2011","$6.50","$5.00"
"ASNUNTUCK COMMUNITY COLLEGE","_011150","CT","ENFIELD","07/31/2001","$6.50","$5.00"
"ATHENS AREA TECHNICAL INSTITUTE","_005600","GA","ATHENS","06/14/2007","$6.50","$5.00"
"ATHENS AREA VOCATIONAL-TECHNICAL SCHOOL","_005600","GA","ATHENS","06/14/2007","$6.50","$5.00"
"ATHENS STATE COLLEGE","_001008","AL","ATHENS","03/17/2005","$6.50","$5.00"
"ATHENS STATE UNIVERSITY","_001008","AL","ATHENS","03/17/2005","$6.50","$5.00"
"ATHENS TECHNICAL COLLEGE","_005600","GA","ATHENS","06/14/2007","$6.50","$5.00"
"ATLANTA COLLEGE OF ART","_021415","GA","SAVANNAH","11/12/2010","$6.50","$5.00"
"ATLANTA METROPOLITAN COLLEGE","_012165","GA","ATLANTA","03/07/2006","$6.50","$5.00"
"ATLANTA TECHNICAL COLLEGE","_008543","GA","ATLANTA","06/18/2007","$6.50","$5.00"
"ATLANTIC CAPE COMMUNITY COLLEGE","_002596","NJ","MAYS LANDING","10/07/2009","$9.50","$8.00"
"ATLANTIC COMMUNITY COLLEGE","_002596","NJ","MAYS LANDING","10/07/2009","$9.50","$8.00"
"AUBURN UNIVERSITY","_001009","AL","AUBURN","12/20/2001","$6.50","$5.00"
"AUBURN UNIVERSITY AT MONTGOMERY","_008310","AL","MONTGOMERY","11/13/2003","$7.50","$6.00"
"AUGSBURG COLLEGE","_002334","MN","MINNEAPOLIS","10/02/2003","$6.50","$5.00"
"AUGUSTA COLLEGE","_001552","GA","AUGUSTA","01/30/2008","$6.50","$5.00"
"AUGUSTA STATE UNIVERSITY","_001552","GA","AUGUSTA","01/30/2008","$6.50","$5.00"
"AUGUSTA TECHNICAL COLLEGE","_005599","GA","AUGUSTA","06/19/2007","$6.50","$5.00"
"AUGUSTANA COLLEGE","_001633","IL","ROCK ISLAND","01/15/2004","$6.50","$5.00"
"AUGUSTANA COLLEGE - SIOUX FALLS, SD","_003458","SD","SIOUX FALLS","04/11/2007","$6.50","$5.00"
"AURORA UNIVERSITY","_001634","IL","AURORA","04/22/2004","$6.50","$5.00"
"AUSTIN COLLEGE","_003543","TX","SHERMAN","08/15/2005","$6.50","$5.00"
"AUSTIN COMMUNITY COLLEGE","_012015","TX","AUSTIN","08/20/2008","$6.50","$5.00"
"AUSTIN PEAY STATE UNIVERSITY","_003478","TN","CLARKSVILLE","10/23/2003","$6.50","$5.00"
"AVILA COLLEGE","_002449","MO","KANSAS CITY","06/21/2007","$7.50","$6.00"
"AVILA UNIVERSITY","_002449","MO","KANSAS CITY","06/21/2007","$7.50","$6.00"
"AXIA COLLEGE OF WESTERN INTERNATIONAL UNIVERSITY","_021715","AZ","PHOENIX","02/09/2005","$6.50","$5.00"
"AZUSA PACIFIC UNIVERSITY","_001117","CA","AZUSA","09/21/2004","$6.50","$5.00"
"BALDWIN-WALLACE COLLEGE","_003014","OH","BEREA","03/15/2001","$6.50","$5.00"
"BALL STATE TEACHERS COLLEGE","_001786","IN","MUNCIE","03/04/2010","$11.50","$10.00"
"BALL STATE UNIVERSITY","_001786","IN","MUNCIE","03/04/2010","$11.50","$10.00"
"BARAT COLLEGE","_001671","IL","CHICAGO","08/05/2005","$6.50","$5.00"
"BARNARD COLLEGE","_002708","NY","NEW YORK","12/04/2006","$6.50","$5.00"
"BARNARD COLLEGE, COLUMBIA UNIVERSITY","_002708","NY","NEW YORK","12/04/2006","$6.50","$5.00"
"BARRINGTON COLLEGE OF RHODE ISLAND","_002153","MA","WENHAM","12/10/2010","$7.00","$5.50"
"BARTON COMMUNITY COLLEGE","_004608","KS","GREAT BEND","11/01/2010","$6.50","$5.00"
"BARTON COUNTY COMMUNITY COLLEGE","_004608","KS","GREAT BEND","11/01/2010","$6.50","$5.00"
"BARUCH COLLEGE","_007273","NY","NEW YORK","12/14/2001","$6.50","$5.00"
"BASTYR UNIVERSITY","_022425","WA","KENMORE","04/08/2005","$6.50","$5.00"
"BATES COLLEGE","_002036","ME","LEWISTON","07/10/2002","$6.50","$5.00"
"BATON ROUGE COMMUNITY COLLEGE","_037303","LA","BATON ROUGE","04/26/2011","$6.50","$5.00"
"BAY DE NOC COMMUNITY COLLEGE","_002240","MI","ESCANABA","02/19/2003","$6.50","$5.00"
"BAYLOR UNIVERSITY","_003545","TX","WACO","09/06/2001","$6.50","$5.00"
"BEAUFORD TECHNICAL COLLEGE","_009910","SC","BEAUFORT","02/22/2007","$6.50","$5.00"
"BEAUFORT COUNTY COMMUNITY COLLEGE","_008558","NC","WASHINGTON","09/29/2011","$6.50","$5.00"
"BECKLEY COLLEGE","_003807","WV","BECKLEY","08/25/2005","$8.50","$7.00"
"BELHAVEN COLLEGE","_002397","MS","JACKSON","11/07/2007","$6.50","$5.00"
"BELLEVILLE AREA COLLEGE","_001636","IL","BELLEVILLE","08/15/2005","$6.50","$5.00"
"BELLEVUE COLLEGE","_003769","WA","BELLEVUE","04/27/2004","$6.50","$5.00"
"BELLEVUE COMMUNITY COLLEGE","_003769","WA","BELLEVUE","04/27/2004","$6.50","$5.00"
"BELLEVUE UNIVERSITY","_009743","NE","BELLEVUE","06/23/2004","$6.50","$5.00"
"BELLINGHAM STATE NORMAL SCHOOL","_003802","WA","BELLINGHAM","09/08/2003","$11.50","$10.00"
"BELLINGHAM TECHNICAL COLLEGE","_004999","WA","BELLINGHAM","03/10/2011","$7.50","$6.00"
"BELLINGHAM VOCATIONAL TECHNICAL INSTITUTE","_004999","WA","BELLINGHAM","03/10/2011","$7.50","$6.00"
"BELMONT ABBEY COLLEGE","_002910","NC","BELMONT","04/20/2011","$6.50","$5.00"
"BELMONT COLLEGE","_003479","TN","NASHVILLE","08/23/2004","$6.50","$5.00"
"BELMONT TECHNICAL COLLEGE","_009941","OH","ST CLAIRSVILLE","05/07/2008","$6.50","$5.00"
"BELMONT UNIVERSITY","_003479","TN","NASHVILLE","08/23/2004","$6.50","$5.00"
"BELOIT COLLEGE","_003835","WI","BELOIT","03/17/2005","$6.50","$5.00"
"BEMIDJI STATE UNIVERSITY","_002336","MN","BEMIDJI","05/31/2005","$6.50","$5.00"
"BENEDICT COLLEGE","_003420","SC","COLUMBIA","03/20/2007","$6.50","$5.00"
"BENEDICTINE COLLEGE","_010256","KS","ATCHISON","12/13/2011","$6.50","$5.00"
"BENJAMIN FRANKLIN INSTITUTE OF TECHNOLOGY","_002151","MA","BOSTON","04/08/2009","$6.50","$5.00"
"BENJAMIN FRANKLIN UNIVERSITY","_001444","DC","WASHINGTON","08/29/2008","$9.50","$8.00"
"BENNINGTON COLLEGE","_003682","VT","BENNINGTON","04/27/2004","$6.50","$5.00"
"BENTLEY COLLEGE","_002124","MA","WALTHAM","01/19/2012","$6.50","$5.00"
"BENTLEY UNIVERSITY","_002124","MA","WALTHAM","01/19/2012","$6.50","$5.00"
"BEREA COLLEGE","_001955","KY","BEREA","09/01/2011","$6.50","$5.00"
"BERGEN COMMUNITY COLLEGE","_004736","NJ","PARAMUS","10/10/2002","$6.50","$5.00"
"BERKLEE COLLEGE OF MUSIC","_002126","MA","BOSTON","07/16/2010","$6.50","$5.00"
"BERKSHIRE COMMUNITY COLLEGE","_002167","MA","PITTSFIELD","01/30/2009","$6.50","$5.00"
"BERRY COLLEGE","_001554","GA","MOUNT BERRY","07/29/2008","$6.50","$5.00"
"BESSEMER STATE TECHNICAL COLLEGE","_001059","AL","BIRMINGHAM","05/31/2007","$8.50","$7.00"
"BETHANY NAZARENE COLLEGE","_003149","OK","BETHANY","07/10/2006","$6.50","$5.00"
"BETHANY-PENIEL COLLEGE","_003149","OK","BETHANY","07/10/2006","$6.50","$5.00"
"BETHEL COLLEGE","_009058","MN","ST. PAUL","10/27/2010","$6.50","$5.00"
"BETHEL THEOLOGICAL SEMINARY","_009058","MN","ST. PAUL","10/27/2010","$6.50","$5.00"
"BETHEL THEOLOGICAL SEMINARY - SAN DIEGO","_009058","MN","ST. PAUL","10/27/2010","$6.50","$5.00"
"BETHEL THEOLOGICAL SEMINARY OF THE EAST","_009058","MN","ST. PAUL","10/27/2010","$6.50","$5.00"
"BETHEL UNIVERSITY","_009058","MN","ST. PAUL","10/27/2010","$6.50","$5.00"
"BETHEL UNIVERSITY GRADUATE STUDY/DEGREE COMPLETION","_009058","MN","ST. PAUL","10/27/2010","$6.50","$5.00"
"BIG BEND COMMUNITY COLLEGE","_003770","WA","MOSES LAKE","08/13/2008","$6.50","$5.00"
"BIG SANDY COMMUNITY AND TECHNICAL COLLEGE","_001996","KY","PRESTONSBURG","05/08/2003","$6.50","$5.00"
"BINGHAMTON UNIVERSITY","_002836","NY","BINGHAMTON","10/13/2000","$6.50","$5.00"
"BIOLA UNIVERSITY","_001122","CA","LA MIRADA","10/02/2002","$6.50","$5.00"
"BIRMINGHAM BAPTIST HOSPITALS","_001036","AL","BIRMINGHAM","11/05/2001","$6.50","$5.00"
"BISHOP STATE COMMUNITY COLLEGE","_001030","AL","MOBILE","11/02/2001","$6.50","$5.00"
"BISMARCK STATE COLLEGE","_002988","ND","BISMARCK","10/25/2005","$6.50","$5.00"
"BLACK HAWK COLLEGE","_001638","IL","MOLINE","10/15/2009","$8.50","$7.00"
"BLACK HAWK COLLEGE, EAST CAMPUS","_001638","IL","MOLINE","10/15/2009","$8.50","$7.00"
"BLACK HILLS STATE UNIVERSITY","_003459","SD","SPEARFISH","06/20/2007","$6.50","$5.00"
"BLACKHAWK TECHNICAL COLLEGE","_005390","WI","JANESVILLE","03/18/2008","$6.50","$5.00"
"BLADEN COMMUNITY COLLEGE","_007987","NC","DUBLIN","01/31/2007","$6.50","$5.00"
"BLINN COLLEGE","_003549","TX","BRENHAM","04/12/2004","$6.50","$5.00"
"BLOOM TOWNSHIP JUNIOR COLLEGE","_001640","IL","CHICAGO HEIGHTS","10/05/2011","$6.50","$5.00"
"BLOOMSBURG STATE COLLEGE","_003315","PA","BLOOMSBURG","02/15/2002","$6.50","$5.00"
"BLOOMSBURG UNIVERSITY OF PENNSYLVANIA","_003315","PA","BLOOMSBURG","02/15/2002","$6.50","$5.00"
"BLUE MOUNTAIN COMMUNITY COLLEGE","_003186","OR","PENDLETON","04/18/2005","$6.50","$5.00"
"BLUE RIDGE COMMUNITY AND TECHNICAL COLLEGE","_039573","WV","MARTINSBURG","12/29/2005","$6.50","$5.00"
"BLUE RIDGE COMMUNITY COLLEGE","_009684","NC","FLAT ROCK","07/30/2007","$6.50","$5.00"
"BLUE RIDGE COMMUNITY COLLEGE","_006819","VA","WEYERS CAVE","10/21/2008","$6.50","$5.00"
"BLUE RIDGE TECHNICAL COLLEGE","_009684","NC","FLAT ROCK","07/30/2007","$6.50","$5.00"
"BLUEGRASS COMMUNITY AND TECHNICAL COLLEGE","_005244","KY","LEXINGTON","05/08/2003","$6.50","$5.00"
"BLUFFTON COLLEGE","_003016","OH","BLUFFTON","04/07/2004","$6.50","$5.00"
"BLUFFTON UNIVERSITY","_003016","OH","BLUFFTON","04/07/2004","$6.50","$5.00"
"BLUFFTON UNIVERSITY -UNDERGRAD SEMESTERS","_003016","OH","BLUFFTON","04/07/2004","$6.50","$5.00"
"BOB JONES UNIVERSITY","_003421","SC","GREENVILLE","02/10/2011","$6.50","$5.00"
"BOISE STATE UNIVERSITY","_001616","ID","BOISE","10/11/2004","$6.50","$5.00"
"BORGESS SCHOOL OF NURSING","_002249","MI","GRAND RAPIDS","11/14/2011","$6.50","$5.00"
"BOROUGH OF MANHATTAN COMMUNITY COLLEGE","_002691","NY","NEW YORK","12/10/2001","$6.50","$5.00"
"BOSSIER PARISH COMMUNITY COLLEGE","_020554","LA","BOSSIER CITY","02/16/2011","$6.50","$5.00"
"BOSTON COLLEGE","_002128","MA","BOSTON","06/01/2004","$6.50","$5.00"
"BOSTON STATE COLLEGE","_002222","MA","BOSTON","12/07/2010","$7.50","$6.00"
"BOSTON UNIVERSITY","_002130","MA","BOSTON","08/11/2008","$16.00","$14.50"
"BOWIE STATE UNIVERSITY","_002062","MD","BOWIE","04/06/2004","$6.50","$5.00"
"BOWLING GREEN STATE UNIVERSITY","_003018","OH","BOWLING GREEN","04/20/2004","$6.50","$5.00"
"BOWLING GREEN STATE UNIVERSITY - FIRELANDS","_003018","OH","BOWLING GREEN","04/20/2004","$6.50","$5.00"
"BOWLING GREEN TECHNICAL COLLEGE","_005271","KY","BOWLING GREEN","05/08/2003","$6.50","$5.00"
"BOYCE COLLEGE","_001982","KY","LOUISVILLE","10/20/2005","$6.50","$5.00"
"BOYD SCHOOL (WILMA BOYD CAREER)","_007437","PA","PITTSBURGH","03/26/2009","$6.50","$5.00"
"BRADFORD COLLEGE","_002120","MA","NORTH ANDOVER","05/12/2005","$6.50","$5.00"
"BRADLEY UNIVERSITY","_001641","IL","PEORIA","06/18/2001","$6.50","$5.00"
"BRAINERD AREA TECHNICAL COLLEGE","_002339","MN","BRAINERD","09/20/2007","$6.50","$5.00"
"BRAINERD AREA TECHNICAL INSTITUTE","_002339","MN","BRAINERD","09/20/2007","$6.50","$5.00"
"BRAINERD AREA VOCATIONAL TECHNICAL INSTITUTE","_002339","MN","BRAINERD","09/20/2007","$6.50","$5.00"
"BRAINERD AREA VOCATIONAL TECHNICAL SCHOOL","_002339","MN","BRAINERD","09/20/2007","$6.50","$5.00"
"BRAINERD COMMUNITY COLLEGE","_002339","MN","BRAINERD","09/20/2007","$6.50","$5.00"
"BRAINERD JUNIOR COLLEGE","_002339","MN","BRAINERD","09/20/2007","$6.50","$5.00"
"BRAINERD STATE JUNIOR COLLEGE","_002339","MN","BRAINERD","09/20/2007","$6.50","$5.00"
"BRAINERD/STAPLES TECHNICAL COLLEGE","_002339","MN","BRAINERD","09/20/2007","$6.50","$5.00"
"BRANDEIS UNIVERSITY","_002133","MA","WALTHAM","12/13/2002","$6.50","$5.00"
"BRANDMAN UNIVERSITY","_041618","CA","PALMDALE","03/25/2011","$6.50","$5.00"
"BRAZOSPORT COLLEGE","_007287","TX","LAKE JACKSON","12/12/2011","$9.00","$7.50"
"BREVARD COLLEGE","_002912","NC","BREVARD","08/17/2009","$6.50","$5.00"
"BREVARD COMMUNITY COLLEGE","_001470","FL","COCOA","05/09/2006","$6.50","$5.00"
"BREWTON-PARKER COLLEGE","_001557","GA","MT VERNON","07/08/2004","$6.50","$5.00"
"BRIAR CLIFF COLLEGE","_001846","IA","SIOUX CITY","04/28/2008","$7.50","$6.00"
"BRIAR CLIFF UNIVERSITY","_001846","IA","SIOUX CITY","04/28/2008","$7.50","$6.00"
"BRIARCLIFF MANOR","_040953","NY","NEW YORK","04/01/2009","$6.50","$5.00"
"BRIDGEWATER COLLEGE","_003704","VA","BRIDGEWATER","03/12/2009","$6.50","$5.00"
"BRIDGEWATER STATE COLLEGE","_002183","MA","BRIDGEWATER","03/17/2011","$6.50","$5.00"
"BRIDGEWATER STATE UNIVERSITY","_002183","MA","BRIDGEWATER","03/17/2011","$6.50","$5.00"
"BRIGHAM YOUNG UNIVERSITY","_003670","UT","PROVO","08/08/2001","$6.50","$5.00"
"BRIGHAM YOUNG UNIVERSITY - IDAHO","_001625","ID","REXBURG","06/14/2006","$6.50","$5.00"
"BRIGHAM YOUNG UNIVERSITY HAWAII","_001606","HI","LAIE","03/17/2004","$6.50","$5.00"
"BRISTOL COMMUNITY COLLEGE","_002176","MA","FALL RIVER","03/19/2010","$6.50","$5.00"
"BRONX COMMUNITY COLLEGE","_002692","NY","NEW YORK","06/06/2002","$6.50","$5.00"
"BROOKHAVEN COLLEGE","_021002","TX","FARMER'S BRANCH","07/29/2011","$6.50","$5.00"
"BROOKLYN COLLEGE","_002687","NY","BROOKLYN","03/26/2002","$6.50","$5.00"
"BROOME COMMUNITY COLLEGE","_002862","NY","BINGHAMTON","09/17/2001","$6.50","$5.00"
"BROWARD COLLEGE","_001500","FL","FORT LAUDERDALE","02/29/2008","$8.50","$7.00"
"BROWARD COMMUNITY COLLEGE","_001500","FL","FORT LAUDERDALE","02/29/2008","$8.50","$7.00"
"BROWARD COUNTY JUNIOR COLLEGE","_001500","FL","FORT LAUDERDALE","02/29/2008","$8.50","$7.00"
"BROWARD JUNIOR COLLEGE","_001500","FL","FORT LAUDERDALE","02/29/2008","$8.50","$7.00"
"BROWN UNIVERSITY","_003401","RI","PROVIDENCE","04/05/2002","$6.50","$5.00"
"BRYANT & STRATTON BUSINESS INSTITUTE - BUFFALO","_002678","NY","BUFFALO","05/13/2008","$6.50","$5.00"
"BRYANT & STRATTON COLLEGE - ALBANY","_002678","NY","BUFFALO","05/13/2008","$6.50","$5.00"
"BRYANT & STRATTON COLLEGE - AMHERST","_002678","NY","BUFFALO","05/13/2008","$6.50","$5.00"
"BRYANT & STRATTON COLLEGE - BUFFALO","_002678","NY","BUFFALO","05/13/2008","$6.50","$5.00"
"BRYANT & STRATTON COLLEGE - CLEVELAND","_002678","NY","BUFFALO","05/13/2008","$6.50","$5.00"
"BRYANT & STRATTON COLLEGE - GREECE","_002678","NY","BUFFALO","05/13/2008","$6.50","$5.00"
"BRYANT & STRATTON COLLEGE - HAMPTON","_002678","NY","BUFFALO","05/13/2008","$6.50","$5.00"
"BRYANT & STRATTON COLLEGE - HENRIETTA","_002678","NY","BUFFALO","05/13/2008","$6.50","$5.00"
"BRYANT & STRATTON COLLEGE - LACKAWANNA","_002678","NY","BUFFALO","05/13/2008","$6.50","$5.00"
"BRYANT & STRATTON COLLEGE - MILWAUKEE","_002678","NY","BUFFALO","05/13/2008","$6.50","$5.00"
"BRYANT & STRATTON COLLEGE - MILWAUKEE WEST","_002678","NY","BUFFALO","05/13/2008","$6.50","$5.00"
"BRYANT & STRATTON COLLEGE - NORTH","_002678","NY","BUFFALO","05/13/2008","$6.50","$5.00"
"BRYANT & STRATTON COLLEGE - PARMA","_002678","NY","BUFFALO","05/13/2008","$6.50","$5.00"
"BRYANT & STRATTON COLLEGE - RICHMOND","_002678","NY","BUFFALO","05/13/2008","$6.50","$5.00"
"BRYANT & STRATTON COLLEGE - SYRACUSE","_002678","NY","BUFFALO","05/13/2008","$6.50","$5.00"
"BRYANT & STRATTON COLLEGE - VA BEACH","_002678","NY","BUFFALO","05/13/2008","$6.50","$5.00"
"BRYANT & STRATTON COLLEGE - WILLOUGHBY HILLS","_002678","NY","BUFFALO","05/13/2008","$6.50","$5.00"
"BRYANT AND STRATTON COLLEGE","_002678","NY","BUFFALO","05/13/2008","$6.50","$5.00"
"BRYANT COLLEGE","_003402","RI","SMITHFIELD","12/10/2008","$6.50","$5.00"
