"School Name","School Code","State","City","Activation Date","Fees: Retail and Corporate Level Users","Fees: Colleague Level Members"
"FRANCIS MARION COLLEGE","_009226","SC","FLORENCE","11/05/2008","$6.50","$5.00"
"FRANCIS MARION UNIVERSITY","_009226","SC","FLORENCE","11/05/2008","$6.50","$5.00"
"FRANCISCAN UNIVERSITY OF STEUBENVILLE","_003036","OH","STEUBENVILLE","02/24/2004","$6.50","$5.00"
"FRANK PHILLIPS COLLEGE","_003568","TX","BORGER","09/24/2008","$6.50","$5.00"
"FRANKLIN & MARSHALL COLLEGE","_003265","PA","LANCASTER","05/16/2008","$6.50","$5.00"
"FRANKLIN COLLEGE","_001798","IN","FRANKLIN","07/13/2006","$6.50","$5.00"
"FRANKLIN COLLEGE OF INDIANA","_001798","IN","FRANKLIN","07/13/2006","$6.50","$5.00"
"FRANKLIN INSTITUTE","_002151","MA","BOSTON","04/08/2009","$6.50","$5.00"
"FRANKLIN INSTITUTE OF BOSTON","_002151","MA","BOSTON","04/08/2009","$6.50","$5.00"
"FRANKLIN UNIVERSITY","_003046","OH","COLUMBUS","02/11/2009","$11.50","$10.00"
"FRANKLIN W. OLIN COLLEGE OF ENGINEERING","_039463","MA","NEEDHAM","09/09/2010","$6.50","$5.00"
"FREDERICK COMMUNITY COLLEGE","_002071","MD","FREDERICK","10/14/2004","$6.50","$5.00"
"FREED - HARDEMAN UNIVERSITY","_003492","TN","HENDERSON","10/24/2005","$6.50","$5.00"
"FRESNO CITY COLLEGE","_001307","CA","FRESNO","11/27/2001","$9.50","$8.00"
"FRESNO PACIFIC COLLEGE","_001253","CA","FRESNO","08/04/2005","$6.50","$5.00"
"FRESNO PACIFIC UNIVERSITY","_001253","CA","FRESNO","08/04/2005","$6.50","$5.00"
"FRESNO STATE COLLEGE","_001147","CA","FRESNO","05/30/2006","$12.50","$11.00"
"FRONT RANGE COMMUNITY COLLEGE","_007933","CO","WESTMINSTER","05/06/2003","$6.50","$5.00"
"FROSTBURG STATE UNIVERSITY","_002072","MD","FROSTBURG","02/25/2003","$6.50","$5.00"
"FSU","_001489","FL","TALLAHASSEE","11/25/2008","$6.50","$5.00"
"FULLERTON COLLEGE","_001201","CA","FULLERTON","07/06/2006","$10.50","$9.00"
"FULTON-MONTGOMERY COMMUNITY COLLEGE","_002867","NY","JOHNSTOWN","08/09/2005","$6.50","$5.00"
"FURMAN UNIVERSITY","_003434","SC","GREENVILLE","08/18/2011","$11.50","$10.00"
"GADSDEN STATE COMMUNITY COLLEGE","_001017","AL","GADSDEN","07/22/2008","$6.50","$5.00"
"GADSDEN STATE JUNIOR COLLEGE","_001017","AL","GADSDEN","07/22/2008","$6.50","$5.00"
"GADSDEN STATE TECHNICAL INSTITUTE","_001017","AL","GADSDEN","07/22/2008","$6.50","$5.00"
"GADSDEN STATE TECHNICAL TRADE SCHOOL","_001017","AL","GADSDEN","07/22/2008","$6.50","$5.00"
"GADSDEN STATE VOCATIONAL TECHNICAL SCHOOL","_001017","AL","GADSDEN","07/22/2008","$6.50","$5.00"
"GADSDEN TECHNICAL JUNIOR COLLEGE","_001017","AL","GADSDEN","07/22/2008","$6.50","$5.00"
"GALLAUDET UNIVERSITY","_001443","DC","WASHINGTON","07/12/2011","$7.50","$6.00"
"GANNON UNIVERSITY","_003266","PA","ERIE","07/29/2003","$6.50","$5.00"
"GARDEN CITY COMMUNITY COLLEGE","_001919","KS","GARDEN CITY","12/10/2002","$6.50","$5.00"
